Defense,Attack,Epsilon,Accuracy,Precision,Recall,F1_Score,Detection_Rate
baseline,fgsm,0.1,0.9761033333333333,0.9771290978065479,0.9761033333333333,0.9760904827581582,0.0
adversarial_training_1,fgsm,0.1,0.9704066666666666,0.9720106119268345,0.9704066666666666,0.9703815049205132,0.0
adversarial_training_2,fgsm,0.1,0.9729733333333334,0.9743090212658595,0.9729733333333334,0.9729542926745637,0.0
adversarial_training_3,fgsm,0.1,0.96813,0.9699736759212535,0.96813,0.9680987133359308,0.0
ood_denoising,fgsm,0.1,0.9379566666666667,0.9384444118922518,0.9379566666666667,0.9379394069199629,0.05
combined_defense,fgsm,0.1,0.9234766666666666,0.9234815813303999,0.9234766666666666,0.9234764446454744,0.05
baseline,fgsm,0.2,0.93417,0.9348095954263607,0.93417,0.934145782470775,0.0
adversarial_training_1,fgsm,0.2,0.94697,0.950622748500033,0.94697,0.9468623164695653,0.0
adversarial_training_2,fgsm,0.2,0.95205,0.9547985786666411,0.95205,0.9519774438292025,0.0
adversarial_training_3,fgsm,0.2,0.9490166666666666,0.9534725313128644,0.9490166666666666,0.948891116467087,0.0
ood_denoising,fgsm,0.2,0.9119533333333333,0.9127065220757912,0.9119533333333333,0.9119131437403996,0.05
combined_defense,fgsm,0.2,0.9156833333333333,0.9157341874357835,0.9156833333333333,0.9156807547749268,0.05
baseline,fgsm,0.3,0.6679766666666667,0.6871602470208553,0.6679766666666667,0.6592449761978657,0.0
adversarial_training_1,fgsm,0.3,0.8256666666666667,0.8264385478199255,0.8256666666666667,0.8255635506218433,0.0
adversarial_training_2,fgsm,0.3,0.7503466666666667,0.7587346373580615,0.7503466666666667,0.7483067429781743,0.0
adversarial_training_3,fgsm,0.3,0.8949433333333333,0.9083927566702831,0.8949433333333333,0.8940712064624539,0.0
ood_denoising,fgsm,0.3,0.6706466666666666,0.6875040341532871,0.6706466666666666,0.6630739137968374,0.05
combined_defense,fgsm,0.3,0.8933566666666667,0.8935040542047975,0.8933566666666667,0.8933466798761123,0.05
baseline,fgsm,0.4,0.27865,0.17893148397868106,0.27865,0.21792515543737537,0.0
adversarial_training_1,fgsm,0.4,0.32333,0.2978688592747274,0.32333,0.30132821878194954,0.0
adversarial_training_2,fgsm,0.4,0.33620333333333335,0.26969708859421526,0.3362033333333333,0.28455205849093346,0.0
adversarial_training_3,fgsm,0.4,0.5066966666666667,0.5067099540531804,0.5066966666666667,0.5064523297231502,0.0
ood_denoising,fgsm,0.4,0.29703,0.2178137186360726,0.29703,0.24397126833780455,0.05
combined_defense,fgsm,0.4,0.8361966666666667,0.8362915062670444,0.8361966666666667,0.8361851170603397,0.05
baseline,fgsm,0.5,0.05748333333333333,0.05155610033184849,0.05748333333333333,0.05435861873315576,0.0
adversarial_training_1,fgsm,0.5,0.03773666666666667,0.03508842618134031,0.03773666666666667,0.036364395591688324,0.0
adversarial_training_2,fgsm,0.5,0.08153666666666666,0.07010449326783637,0.08153666666666666,0.07538964621325829,0.0
adversarial_training_3,fgsm,0.5,0.023623333333333333,0.022557563643076765,0.023623333333333333,0.02307815049155451,0.0
ood_denoising,fgsm,0.5,0.09150333333333334,0.09029353750532901,0.09150333333333334,0.09083217755521097,0.05
combined_defense,fgsm,0.5,0.69442,0.7036489412125417,0.69442,0.6909182666619038,0.05
baseline,fgsm,0.5,0.05748333333333333,0.05155610033184849,0.05748333333333333,0.05435861873315576,0.0
adversarial_training_1,fgsm,0.5,0.03773666666666667,0.03508842618134031,0.03773666666666667,0.036364395591688324,0.0
adversarial_training_2,fgsm,0.5,0.08153666666666666,0.07010449326783637,0.08153666666666666,0.07538964621325829,0.0
adversarial_training_3,fgsm,0.5,0.023623333333333333,0.022557563643076765,0.023623333333333333,0.02307815049155451,0.0
ood_denoising,fgsm,0.5,0.09124333333333333,0.0900741131860799,0.09124333333333333,0.0905948656228688,0.05
combined_defense,fgsm,0.5,0.6952333333333334,0.7046450046093392,0.6952333333333334,0.6916885040124469,0.05
baseline,fgsm,0.7,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
adversarial_training_1,fgsm,0.7,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
adversarial_training_2,fgsm,0.7,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
adversarial_training_3,fgsm,0.7,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
ood_denoising,fgsm,0.7,0.055696666666666665,0.05492371750294896,0.055696666666666665,0.05528650354645961,0.05
combined_defense,fgsm,0.7,0.49408,0.49354255735909375,0.49408,0.4833295866051526,0.05
baseline,fgsm,1.0,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
adversarial_training_1,fgsm,1.0,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
adversarial_training_2,fgsm,1.0,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
adversarial_training_3,fgsm,1.0,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
ood_denoising,fgsm,1.0,0.03275,0.03273660908267405,0.03275,0.03274307004473614,0.05
combined_defense,fgsm,1.0,0.43539333333333335,0.42300407714240923,0.43539333333333335,0.41172896145579496,0.05
baseline,pgd,0.1,0.9760966666666666,0.9771230080686646,0.9760966666666666,0.9760838051086513,0.0
adversarial_training_1,pgd,0.1,0.9705733333333333,0.9721594877856761,0.9705733333333333,0.9705485988568165,0.0
adversarial_training_2,pgd,0.1,0.97302,0.9743511117778243,0.97302,0.9730010590681826,0.0
adversarial_training_3,pgd,0.1,0.9684166666666667,0.9702277222179455,0.9684166666666667,0.9683862270007442,0.0
ood_denoising,pgd,0.1,0.9385566666666667,0.9391217707364568,0.9385566666666667,0.9385368925091894,0.05
combined_defense,pgd,0.1,0.92459,0.9245900258339443,0.92459,0.9245899988529301,0.05
baseline,pgd,0.2,0.9341666666666667,0.9347958343264438,0.9341666666666667,0.9341428421549017,0.0
adversarial_training_1,pgd,0.2,0.94972,0.9536344897549666,0.94972,0.94961129681117,0.0
adversarial_training_2,pgd,0.2,0.9555733333333334,0.9588096666894066,0.9555733333333334,0.9554948511717055,0.0
adversarial_training_3,pgd,0.2,0.9496633333333333,0.9540004484679965,0.9496633333333333,0.9495428276341327,0.0
ood_denoising,pgd,0.2,0.9141666666666667,0.9150685287465665,0.9141666666666667,0.914120016598613,0.05
combined_defense,pgd,0.2,0.9172,0.9172458262759983,0.9172,0.9171977264482938,0.05
baseline,pgd,0.3,0.6397733333333333,0.6628923144646359,0.6397733333333333,0.6265215713116369,0.0
adversarial_training_1,pgd,0.3,0.82725,0.8279469561506809,0.82725,0.8271581687029272,0.0
adversarial_training_2,pgd,0.3,0.8398866666666667,0.8398963832317013,0.8398866666666667,0.8398855223747503,0.0
adversarial_training_3,pgd,0.3,0.89872,0.9108365297055254,0.89872,0.8979677072897874,0.0
ood_denoising,pgd,0.3,0.64289,0.663229039072343,0.64289,0.6314079624026259,0.05
combined_defense,pgd,0.3,0.8905533333333333,0.8911800562189093,0.8905533333333333,0.8905094787104079,0.05
baseline,pgd,0.4,0.2784066666666667,0.17883111655432893,0.2784066666666667,0.21777629444986207,0.0
