Defense,Attack,Epsilon,Accuracy,F1,Precision,Recall,Detection_Rate
baseline,fgsm,0.1,0.8590711021362525,0.8587558585428207,0.7719264649559556,0.9675948151704272,0
adversarial_training_1,fgsm,0.1,0.9868211287065576,0.9853323870357228,0.9713152985074627,0.999759961593855,0
adversarial_training_2,fgsm,0.1,0.9892655967690509,0.9877560916474725,0.9977957384276267,0.9779164666346616,0
adversarial_training_3,fgsm,0.1,0.991391221171219,0.9902350813743219,0.9946718333736982,0.985837734037446,0
ood_denoising,fgsm,0.1,0.8509937294080137,0.8531014249790444,0.7569728523614727,0.9771963514162266,0.10001062812201084
combined_defense,fgsm,0.1,0.8750132851525135,0.8606635071090047,0.8497894244267665,0.8718194911185789,0.10001062812201084
baseline,fgsm,0.2,0.5704113083218195,0.6488271068635969,0.508442265795207,0.8963034085453673,0
adversarial_training_1,fgsm,0.2,0.8188968009352747,0.8272506082725061,0.7160407160407161,0.9793566970715314,0
adversarial_training_2,fgsm,0.2,0.8941439047720268,0.8731210191082802,0.9302388707926167,0.8226116178588574,0
adversarial_training_3,fgsm,0.2,0.9148687426931661,0.9047675662822494,0.8963486454652533,0.9133461353816611,0
ood_denoising,fgsm,0.2,0.6028270804548836,0.6772048026258962,0.528943462420726,0.9409505520883341,0.10001062812201084
combined_defense,fgsm,0.2,0.8349452651716441,0.8197748636416387,0.793529543922714,0.8478156505040807,0.10001062812201084
baseline,fgsm,0.3,0.37049633329790627,0.5193540533960886,0.39230109108740957,0.7681228996639462,0
adversarial_training_1,fgsm,0.3,0.4428738441917313,0.5862667719021311,0.43673565380997176,0.8915026404224676,0
adversarial_training_2,fgsm,0.3,0.5528749070039324,0.4875137044707029,0.4949295077912441,0.48031685069611135,0
adversarial_training_3,fgsm,0.3,0.6894462748432352,0.6837662337662338,0.6225857311785573,0.758281325012002,0
ood_denoising,fgsm,0.3,0.4317143160803486,0.5672197490894375,0.42789107339113447,0.8410945751320211,0.10001062812201084
combined_defense,fgsm,0.3,0.7938144329896907,0.7689926172898309,0.7629962192816635,0.7750840134421507,0.10001062812201084
baseline,fgsm,0.4,0.3071527261132958,0.4624391852890245,0.3522170581585228,0.6730676908305329,0
adversarial_training_1,fgsm,0.4,0.3190562227654373,0.46425286395183546,0.35621711792634414,0.6663466154584734,0
adversarial_training_2,fgsm,0.4,0.20405994260814114,0.22658267065991944,0.1988399492477796,0.26332213154104656,0
adversarial_training_3,fgsm,0.4,0.39015835901796153,0.39485340645433453,0.35214446952595935,0.44935189630340855,0
ood_denoising,fgsm,0.4,0.3853757041130832,0.5236016146305297,0.398595258999122,0.7628420547287565,0.10001062812201084
combined_defense,fgsm,0.4,0.7629928791582528,0.7168613509395633,0.7609164420485175,0.6776284205472876,0.10001062812201084
baseline,fgsm,0.5,0.27048570517589543,0.41810783316378436,0.32319790301441675,0.5919347095535286,0
adversarial_training_1,fgsm,0.5,0.176851950260389,0.28492290647216323,0.2315078769692423,0.37037926068170907,0
adversarial_training_2,fgsm,0.5,0.08725688170900202,0.12652563059397884,0.10977762089657607,0.14930388862217955,0
adversarial_training_3,fgsm,0.5,0.13912211712190456,0.1588785046728972,0.1400073206442167,0.18362938070091214,0
ood_denoising,fgsm,0.5,0.35508555638218725,0.48654594686072095,0.37571876633559853,0.6901104176668267,0.10001062812201084
combined_defense,fgsm,0.5,0.35423530662132,0.48499745719613496,0.37486897274633124,0.686749879980797,0.10001062812201084
baseline,fgsm,0.7,0.20384738016792434,0.32930432446951385,0.26260174211052406,0.4414306289006241,0
adversarial_training_1,fgsm,0.7,0.057498140078648105,0.09436274509803921,0.08211873444720938,0.11089774363898224,0
adversarial_training_2,fgsm,0.7,0.05654160909767244,0.09260962894817541,0.08064803275769984,0.10873739798367739,0
adversarial_training_3,fgsm,0.7,0.0683388245297056,0.09516928158546656,0.08348424483882651,0.11065770523283726,0
ood_denoising,fgsm,0.7,0.2888723562546498,0.40687882279939724,0.3225579761068166,0.5508881421027364,0.10001062812201084
combined_defense,fgsm,0.7,0.28908491869486663,0.4065300328276107,0.3224489795918367,0.5499279884781565,0.10001062812201084
baseline,fgsm,1,0.1891805717929642,0.30840358988305683,0.24777858703568828,0.40830532885261644,0
adversarial_training_1,fgsm,1,0.05654160909767244,0.09260962894817541,0.08064803275769984,0.10873739798367739,0
adversarial_training_2,fgsm,1,0.056329046657455625,0.09221960944688683,0.08032056990204808,0.10825732117138742,0
